Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Afghanistan,47.5,46.61953108,47.35757473,47.50001452,47.263,48.76275358,47.8453125,49.4945975,49.92533083,49.96201777,50.24961474,50.325,46.452461,46.74700774,50.9214,55.3775,57.2475,61.14346154,67.86608577,68.02690408,72.08324718
Angola,0.392823518,2.790706167,10.04054417,22.05786167,43.53020667,74.60630083,83.5413625,87.15914167,80.36807206,76.70614275,75.03335417,79.32816667,91.90572034,93.93475,95.46795542,96.51827948,98.30241686,120.0607017,163.6564341,165.9159507,252.8557477
Albania,150.6333333,137.6905833,143.7094167,143.4848333,140.1545159,121.86325,102.7800512,99.87025448,98.10337709,90.42789383,83.8946041,94.97811982,103.9366667,100.8958333,108.1841667,105.6691667,105.48,125.9616667,124.1425,119.1,107.9891667
Andorra,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725
Argentina,0.9995,0.9995,0.9995,0.9995,3.063256667,2.900629167,2.923300819,2.9036575,3.054313333,3.095648849,3.14416456,3.710106831,3.896295154,4.110139576,4.53693436,5.459352665,8.075275993,9.233185525,14.75817509,16.56270693,28.09499167
Armenia,504.915,535.0618333,539.5258333,555.0782583,573.3533333,578.7629545,533.4508333,457.6869406,416.0403697,342.0791162,305.9694003,363.2832856,373.6604667,372.5008824,401.7639756,409.6257493,415.9197892,477.9183066,480.4881508,482.7163938,482.9879466
American Samoa,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Australia,1.591828333,1.54995,1.724826667,1.9334425,1.8405625,1.541914167,1.3597525,1.309473333,1.327973441,1.1950725,1.192178333,1.28218881,1.090159486,0.969463201,0.965801031,1.035843097,1.109363293,1.331090262,1.345213976,1.304758077,1.338412146
Austria,12.379065,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0.773799687,0.824033333,0.89483075,0.931316667,0.972164167,0.982146,0.9826955,0.945421,0.893445,0.858123808,0.821619579,0.803783333,0.80265,0.789686389,0.785645349,0.784541075,0.7843475,1.024563819,1.595721573,1.721154802,1.700016667
Burundi,447.7658333,563.5625,720.6733333,830.3533333,930.7491667,1082.62,1100.9,1081.577167,1028.683553,1081.869683,1185.690833,1230.179167,1230.748333,1261.073333,1442.505625,1555.090833,1546.686667,1571.898333,1654.626667,1729.055,1782.876875
Belgium,36.29864083,,,,,,,,,,,,,,,,,,,,
Benin,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584
Burkina Faso,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584
Bangladesh,46.90565167,49.0854,52.14166667,55.80666667,57.888,58.15004,59.51265833,64.327475,68.93323333,68.874875,68.598275,69.03906667,69.64929167,74.1524,81.86265833,78.103235,77.64140833,77.94690833,78.46809167,80.43754167,83.46620192
Bulgaria,1.760358333,1.836383333,2.123275,2.184708333,2.076975,1.732701667,1.575108917,1.574133333,1.559266667,1.42905,1.337116667,1.406691667,1.477391667,1.406458333,1.52205,1.473566667,1.474183333,1.7644,1.768041667,1.735458333,1.657041667
Bahrain,0.375999963,0.375999979,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"Bahamas, The",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,1.759667583,1.835795385,2.122859512,2.185659583,2.078170426,1.732932204,1.575157028,1.57272202,1.559071956,1.429002742,1.33519568,1.407891238,1.476739568,1.406936586,1.522209974,1.473051323,1.474169187,1.763491647,1.768139024,1.735352713,1.656985441
Belarus,0.004612762,0.024929533,0.087675,0.139,0.179091667,0.205127083,0.21602575,0.215382,0.214456417,0.214607833,0.21363975,0.279304922,0.297851,0.497463333,0.833689833,0.88800525,1.02241025,1.592598833,1.989562833,1.932341667,2.037608333
Belize,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bermuda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,5.510133333,5.812408333,6.183541667,6.606916667,7.17,7.659166667,7.936266667,8.0660625,8.011616667,7.851245161,7.238320699,7.02,7.016666667,6.9369625,6.91,6.91,6.91,6.91,6.91,6.91,6.91
Brazil,1.160516667,1.813932847,1.829423122,2.349631709,2.920363018,3.077475118,2.92511945,2.434390036,2.175326667,1.947058333,1.833766667,1.999428173,1.759226711,1.672828755,1.953068611,2.156089151,2.352951963,3.326904383,3.491313422,3.191389446,3.653825361
Barbados,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brunei Darussalam,1.673601667,1.694956667,1.723963333,1.7917225,1.790588333,1.742183333,1.690228333,1.6643975,1.588933333,1.507101667,1.417166667,1.454569273,1.363509474,1.25791302,1.249567016,1.25116567,1.267040123,1.374910845,1.381346877,1.380891164,1.348918565
Bhutan,41.259365,43.05542833,44.941605,47.18641417,48.61031917,46.58328417,45.31646667,44.099975,45.30700833,41.34853333,43.50518333,48.40526667,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446,64.15194446,67.19531281,65.12156865,68.38946709
Botswana,4.22588,4.62439525,5.102241667,5.841416667,6.327791667,4.949666667,4.693833333,5.11675,5.8303,6.139408333,6.826858333,7.155141667,6.793625,6.838233333,7.640525,8.398908333,8.976083333,10.12899167,10.90115833,10.34741667,10.199975
Central African Republic,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584
Canada,1.483505302,1.485704819,1.485394095,1.548839955,1.570342834,1.401014548,1.301281595,1.211405134,1.134344726,1.074045622,1.067086918,1.141535406,1.030112735,0.989258159,0.999364744,1.030137364,1.104747132,1.278786204,1.325615164,1.297935846,1.295817928
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,
Switzerland,1.449813308,1.502155,1.6888425,1.687615,1.5586075,1.346650833,1.243495833,1.245176667,1.253843333,1.200365833,1.08309,1.088141696,1.042905646,0.888042028,0.937684481,0.926903548,0.916151047,0.962381328,0.985394394,0.984691667,0.977883333
Channel Islands,,,,,,,,,,,,,,,,,,,,,
Chile,460.2875,508.7766667,539.5875,634.9383333,688.9366667,691.3975,609.5291667,559.7675,530.275,522.4641667,522.4610358,560.8598948,510.2491667,483.6675,486.4713034,495.2728776,570.3482161,654.1240843,676.957736,648.8337926,641.2768131
China,8.278958333,8.27825,8.278504167,8.277068333,8.2769575,8.277036667,8.276800833,8.194316667,7.973438333,7.6075325,6.948655,6.831416052,6.770269029,6.461461327,6.312332827,6.195758346,6.143434094,6.227488673,6.644477829,6.758755086,6.615957177
Cote d'Ivoire,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584
Cameroon,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584
"Congo, Dem. Rep.",1.606659883,4.018333332,21.81833333,206.6174999,346.4849999,405.1781832,399.4757917,473.9080083,468.278825,516.7498917,559.2925083,809.7858333,905.9134583,919.4913,919.7550167,919.5659074,925.2262825,925.9849613,1010.302757,1464.417932,1622.523502
"Congo, Rep.",589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584
Colombia,1426.037458,1756.230848,2087.903842,2299.633156,2504.241331,2877.652458,2628.612903,2320.834177,2361.139408,2078.291837,1967.711309,2158.255903,1898.569636,1848.13947,1796.895912,1868.785327,2001.781048,2741.880855,3054.121673,2951.327402,2955.70397
Comoros,442.4588359,461.7929985,532.6559828,549.2982699,520.2849199,434.9230696,395.5035242,395.443772,391.8192187,358.9752889,334.5000311,352.7200675,371.0956967,353.4364693,382.9172538,370.4247179,370.3179974,443.4087735,444.4542113,435.4925622,416.5848438
Cabo Verde,98.1575,102.7,115.8765516,123.2133333,117.2558333,97.7875,88.7479249,88.64616853,87.92606491,80.61502716,75.33600384,80.03541773,83.27868938,79.27688148,86.31895418,83.0725,83.0345,99.38569354,99.68811364,97.80693777,93.41357891
Costa Rica,257.2291667,285.6846948,308.1866667,328.8708333,359.8175269,398.6622222,437.935,477.7867415,511.3018179,516.6173902,526.2355134,573.2879567,525.8292007,505.6642399,502.901462,499.7668326,538.3172003,534.56577,544.7393672,567.5130903,576.9725012
Caribbean small states,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Cayman Islands,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333
Cyprus,0.517825583,0.54294775,0.622409117,0.643107026,0.61065999,0.517443262,0.468600552,0.464070507,0.458915947,0.426125,,,,,,,,,,,
Czech Republic,32.28116667,34.56925,38.59841667,38.03532833,32.73851833,28.209,25.69975,23.95741667,22.59558333,20.29366667,17.07166667,19.063,19.09825,17.69591667,19.5775,19.57058333,20.7575,24.59875,24.43991667,23.37633333,21.72991667
Germany,1.7596676,,,,,,,,,,,,,,,,,,,,
Djibouti,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.7208333,177.72,177.72,177.72,177.72
Dominica,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Denmark,6.700826667,6.97624,8.083144167,8.3228175,7.894714167,6.587673333,5.991056667,5.99691,5.946778333,5.443700833,5.098130833,5.360866667,5.624075,5.368711535,5.792475537,5.616311686,5.612466667,6.727906831,6.731718257,6.602893466,6.314618787
Dominican Republic,14.70311084,15.83442991,16.18145768,16.69096152,17.59304369,29.36999962,41.93031457,30.28280818,33.3000352,33.17187058,34.52936096,35.97186555,36.82129187,38.08758487,39.32030084,41.79450343,43.54967262,45.04549907,46.06444394,47.5343582,49.50999286
Algeria,58.73895833,66.573875,75.25979167,77.21502083,79.6819,77.394975,72.06065,73.27630833,72.64661667,69.2924,64.5828,72.64741667,74.38598333,72.93788333,77.53596667,79.3684,80.57901667,100.6914333,109.4430667,110.9730167,116.5937917
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,
Ecuador,5446.5729,11786.80167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Egypt, Arab Rep.",3.388,3.39525,3.47205,3.973,4.499666667,5.850875,6.196241667,5.778833333,5.733166667,5.635433333,5.4325,5.544553309,5.621942918,5.932827652,6.056058333,6.870325,7.077608561,7.691258333,10.02540079,17.78253352,17.76729042
Euro area,,0.938283072,1.082705081,1.116533086,1.057558996,0.884047927,0.803921648,0.803800192,0.796432731,0.7296724,0.67992268,0.716957702,0.75430899,0.718413899,0.77833812,0.752945123,0.752728197,0.901296423,0.903421436,0.885205508,0.846772667
Eritrea,7.361930417,8.152633333,9.625,11.30945208,13.95819417,13.87789058,13.7875,15.36791667,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.375,15.35,15.075,15.075
Spain,149.3953317,,,,,,,,,,,,,,,,,,,,
Estonia,14.07466667,14.67758333,16.96863667,17.47807153,16.61179167,13.8564114,12.59556359,12.58378659,12.46548376,11.433853,10.69444309,11.25743089,11.80684823,,,,,,,,
Ethiopia,7.115908333,7.94225,8.217258333,8.457491667,8.56775,8.599683333,8.635583333,8.666441667,8.698615833,8.96595,9.599741667,11.77759967,14.40958981,16.89922576,17.70476138,18.62662896,19.58578991,20.57684875,21.73154722,23.86610446,27.42938659
European Union,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,
Finland,5.344065833,,,,,,,,,,,,,,,,,,,,
Fiji,1.986816667,1.969625,2.128625,2.276602946,2.18678335,1.895768382,1.733101678,1.691046216,1.731264933,1.610413796,1.594034411,1.958095035,1.918508678,1.790883831,1.789892817,1.841476617,1.887345358,2.097629816,2.094695939,2.066875304,2.087379789
France,5.899515667,,,,,,,,,,,,,,,,,,,,
Faroe Islands,6.700826667,6.97624,8.083144167,8.3228175,7.894714167,6.587673333,5.991056667,5.99691,5.946778333,5.443700833,5.098130833,5.360866667,5.624075,5.368711535,5.792475537,5.616311686,5.612466667,6.727906831,6.731718257,,
"Micronesia, Fed. Sts.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584
United Kingdom,0.603823594,0.618056845,0.660930833,0.694655,0.667223333,0.6124725,0.54618,0.549998333,0.543486667,0.499771667,0.54396625,0.641919263,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154
Georgia,1.389816667,2.024516667,1.976166667,2.073016667,2.195675,2.14565,1.91665,1.812675,1.780433333,1.670491667,1.490791667,1.670487097,1.782341667,1.68649543,1.651258333,1.66335,1.765666667,2.269341667,2.366725,2.509541667,2.534110833
Ghana,0.231165901,0.266642972,0.544919176,0.716305158,0.792417084,0.866764327,0.899494854,0.905209486,0.915106799,0.932619195,1.052275,1.404966667,1.429983333,1.520625,1.824866667,1.98135,2.896575,3.714641667,3.909816667,4.350533333,4.585325
Gibraltar,0.603823594,0.618056845,0.660930833,0.694655,0.667223333,0.6124725,0.54618,0.549998333,0.543486667,0.499771667,0.54396625,0.641919263,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154
Guinea,1236.83175,1387.401333,1746.869917,1950.558333,1975.84375,1984.93125,2243.93125,3644.333333,5148.75,4197.752004,4601.691004,4801.083238,5726.071021,6658.031258,6985.829026,6907.87807,7014.118777,7485.516742,8967.92708,9088.319496,9011.134177
"Gambia, The",10.6431,11.39509167,12.7876251,15.68715833,19.917825,28.53050833,30.03008333,28.57543333,28.065725,24.87343333,22.19235,26.6443612,28.01195366,29.46152006,32.07713389,35.95758683,41.73296165,42.50620809,43.37252767,46.60890946,48.15178064
Guinea-Bissau,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584
Equatorial Guinea,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584
Greece,295.529105,305.6466042,365.3985608,,,,,,,,,,,,,,,,,,
Grenada,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Greenland,6.700826667,6.97624,8.083144167,8.3228175,7.894714167,6.587673333,5.991056667,5.99691,5.946778333,5.443700833,5.098130833,5.360866667,5.624075,5.368711535,5.792475537,5.616311686,5.612466667,6.727906831,6.731718257,,
Guatemala,6.394653333,7.38561,7.763159167,7.8585925,7.821645,7.940846667,7.946495833,7.633944167,7.602630833,7.673304167,7.560028333,8.161555417,8.057770833,7.785418333,7.833605417,7.85681375,7.732233333,7.654815,7.599937083,7.34793875,7.519164583
Guam,,,,,,,,,,,,,,,,,,,,,
Guyana,150.5191667,177.995,182.43,187.3208333,190.665,193.8783333,198.3075,199.875,200.1883333,202.3466667,203.6333333,203.95,203.6358333,204.0175,204.3583333,205.3941667,206.4491667,206.5,206.5,206.5,207.7166667
High income,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",7.745333333,7.7575,7.791166667,7.79875,7.798916667,7.78675,7.788,7.777333333,7.767833333,7.801416667,7.786833333,7.75175,7.769166667,7.784,7.756416667,7.756,7.754083333,7.75175,7.76225,7.79325,7.8385
Honduras,,,14.840625,15.476825,16.43705833,17.35249167,18.209725,18.83234167,18.89520833,18.8951,18.90375833,18.8951,18.8951,18.91714167,19.50224951,20.35377917,20.98715833,21.945175,22.83501839,23.48708394,23.90272829
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,
Croatia,6.363285667,7.111742833,8.277666417,8.341541,7.8716825,6.704968833,6.034340667,5.949236917,5.83779325,5.364535667,4.93503975,5.283946417,5.498010583,5.34386975,5.850291833,5.704880167,5.748165417,6.85830375,6.805990167,6.623831,6.27902525
Haiti,16.76566667,16.93789167,21.17066667,24.42908333,29.25048333,42.36675833,38.35203333,40.44855,40.40851667,36.86141667,39.10759167,41.19760833,39.7974,40.52282194,41.94972295,43.46278333,45.21598089,50.70642667,63.33581837,64.76968028,68.03175398
Hungary,214.4016667,237.1458333,282.1791667,286.49,257.8866667,224.3066667,202.7458333,199.5825,210.39,183.6258333,172.1133333,202.3416667,207.9441667,201.055,225.1041667,223.695,232.6016667,279.3325,281.5233333,274.4333333,270.2116667
IBRD only,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,
IDA total,,,,,,,,,,,,,,,,,,,,,
IDA blend,,,,,,,,,,,,,,,,,,,,,
Indonesia,10013.6225,7855.15,8421.775,10260.85,9311.191667,8577.133333,8938.85,9704.741667,9159.316667,9141,9698.9625,10389.9375,9090.433333,8770.433333,9386.629167,10461.24,11865.2113,13389.41294,13308.3268,13380.83388,14236.93877
IDA only,,,,,,,,,,,,,,,,,,,,,
Isle of Man,0.603823594,0.618056845,0.660930833,0.694655,0.667223333,0.6124725,0.54618,0.549998333,0.543486667,0.499771667,0.54396625,0.641919263,0.647179346,0.624140836,0.633046989,0.639660578,0.607729627,0.654545479,0.740634464,0.776976682,0.74953154
India,41.259365,43.05542833,44.941605,47.18641417,48.61031917,46.58328417,45.31646667,44.099975,45.30700833,41.34853333,43.50518333,48.40526667,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446,64.15194446,67.19531281,65.12156865,68.38946709
Not classified,,,,,,,,,,,,,,,,,,,,,
Ireland,0.702270998,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",1752.285995,1753.35495,1764.856069,1753.985685,6907.034456,8193.887519,8613.989421,8963.958907,9170.942878,9281.151828,9428.528261,9864.302456,10254.17647,10616.30664,12175.54722,18414.44801,25941.66414,29011.49138,30914.85244,33226.29815,40864.32901
Iraq,2002.387245,2002.389773,2002.403407,2002.40491,2002.372703,,1453.416667,1472,1467.416667,1254.567219,1193.083333,1170,1170,1170,1166.166667,1166,1166,1167.333333,1182,1184,1182.75
Iceland,70.95833333,72.33529333,78.61594667,97.42460333,91.66166667,76.7089825,70.19166667,62.98166667,70.18,64.055,87.94791667,123.6383814,122.2418112,115.9540398,125.082787,122.1791213,116.7673525,131.9187084,120.8115481,106.839572,108.3001763
Israel,3.800075,4.139716667,4.077333333,4.20565,4.737825,4.554133333,4.481983333,4.4877,4.455808333,4.108082949,3.588021194,3.932335478,3.738975,3.578129306,3.855921825,3.610758333,3.577925,3.886833333,3.840566667,3.599555548,3.590558127
Italy,1736.207383,,,,,,,,,,,,,,,,,,,,
Jamaica,36.55,39.04351667,42.9857,45.99625,48.41594167,57.74087375,61.1972,62.28071494,65.74385754,69.19216185,72.75620341,87.89411981,87.19614633,85.8934632,88.74980239,100.3978832,110.9345278,116.9697766,125.0950346,127.9645442,128.8715191
Jordan,0.709,0.709,0.709,0.708983174,0.708999833,0.709,0.709,0.709,0.709,0.708999767,0.70966655,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
Japan,130.9053007,113.906805,107.7654983,121.5289475,125.3880192,115.9334642,108.1925692,110.2182117,116.2993117,117.7535292,103.359494,93.57008909,87.779875,79.80701983,79.79045542,97.59565828,105.944781,121.0440257,108.7929,112.1661411,110.4231793
Kazakhstan,78.30333333,119.5233333,142.1333333,146.7358333,153.2791667,149.5758333,136.035,132.88,126.0894306,122.5541667,120.2991667,147.4966667,147.355,146.6208333,149.1125,152.1291667,179.1916667,221.7283333,342.16,326.0010227,344.7058333
Kenya,60.3667,70.32621667,76.17554167,78.563195,78.74914167,75.93556944,79.17387606,75.55410945,72.10083502,67.31666667,69.17583333,77.35083333,79.23333333,88.81166667,84.53,86.12333333,87.9225,98.17916667,101.5041667,103.4104462,101.301574
Kyrgyz Republic,20.83756667,39.00773333,47.70383333,48.37795833,46.93706667,43.648375,42.64994167,41.01182051,40.15289995,37.31625681,36.57459167,42.90410833,45.9642614,46.14390132,47.00447914,48.43805901,53.65405831,64.46210827,69.91406583,68.86666786,68.84032033
Cambodia,3744.416667,3807.833333,3840.75,3916.333333,3912.083333,3973.333333,4016.25,4092.5,4103.25,4056.166667,4054.166667,4139.333333,4184.916667,4058.5,4033,4027.25,4037.5,4067.75,4058.694579,4050.579986,4051.1669
Kiribati,1.591828333,1.54995,1.724826667,1.9334425,1.8405625,1.541914167,1.3597525,1.309473333,1.327973441,1.1950725,1.192178333,1.28218881,1.090159486,0.969463201,0.965801031,1.035843097,1.109363293,1.331090262,1.345213976,1.304758077,1.338412146
St. Kitts and Nevis,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
"Korea, Rep.",1401.436667,1188.816667,1130.9575,1290.994583,1251.088333,1191.614167,1145.319167,1024.116667,954.7905158,929.2572617,1102.046667,1276.93,1156.060988,1108.292125,1126.470826,1094.852917,1052.960833,1131.1575,1160.433435,1130.424621,1100.5
Kuwait,0.30475564,0.304414667,0.306751583,0.306681667,0.303914252,0.298011521,0.2947,0.292,0.290176225,0.284213958,0.268828367,0.287785417,0.286606592,0.275978944,0.279935558,0.283589442,0.284567142,0.300852025,0.302137441,0.303349758,0.301956494
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,
